
File                                                                                                                          Removed
has-managers-admin\health-allied-services\classification-staffing\36-transition-of-all-other-employees.md                     classifications
has-managers-admin\health-allied-services\classification-staffing\39-introduction-of-revised-pathology-collector-structure.md classifications
has-managers-admin\health-allied-services\classification-staffing\40-introduction-of-revised-allied-health-assistant.md       classifications
has-managers-admin\health-allied-services\classification-staffing\41-introduction-of-revised-health-care-worker.md            classifications
has-managers-admin\health-allied-services\classification-staffing\42-dental-assistants-working-in-mobile-dental-programs.md   leave, long-service-leave, allowances
has-managers-admin\health-allied-services\classification-staffing\43-wage-skill-group-1-translation.md                        preliminary
has-managers-admin\health-allied-services\classification-staffing\44-introduction-of-lifestyle-assistant-and-complimentary.md classifications
has-managers-admin\health-allied-services\classification-staffing\45-dual-part-time-appointments.md                           employment, classifications
has-managers-admin\health-allied-services\classification-staffing\46-clinical-services-enhancement-job-rotation.md            preliminary
has-managers-admin\health-allied-services\classification-staffing\47-review-of-pharmacy-technician-structure.md               preliminary
has-managers-admin\health-allied-services\education-pd\30-staff-appraisal.md                                                  preliminary
has-managers-admin\health-allied-services\education-pd\31-study-leave.md                                                      preliminary
has-managers-admin\health-allied-services\education-pd\32-technology-in-cleaning.md                                           union-matters
has-managers-admin\health-allied-services\employment-types\6-notice-of-termination-employee.md                                wages
has-managers-admin\health-allied-services\hours-of-work\22-hours-of-work.md                                                   leave, shift-work, employment
has-managers-admin\health-allied-services\hours-of-work\24-weekend-work.md                                                    wages
has-managers-admin\health-allied-services\hours-of-work\25-overtime.md                                                        shift-work, employment
has-managers-admin\health-allied-services\hours-of-work\27-make-up-time.md                                                    preliminary
has-managers-admin\health-allied-services\hours-of-work\28-wash-up-time.md                                                    preliminary
has-managers-admin\health-allied-services\hours-of-work\29-promotion-of-local-workforce.md                                    education, professional-development
has-managers-admin\health-allied-services\preliminary\4-performance-management-dhsv.md                                        employment
has-managers-admin\health-allied-services\union-matters\33-workforce-skills-capability-and-mobility.md                        employment
has-managers-admin\health-allied-services\wages\7-experience-payments.md                                                      preliminary
has-managers-admin\health-allied-services\wages\8-apprentices.md                                                              wages, training
has-managers-admin\health-allied-services\workplace-rights\48-staffing-flexibility-dhsv.md                                    preliminary, classifications
has-managers-admin\health-allied-services\workplace-rights\49-amenities.md                                                    preliminary
has-managers-admin\managers-admin\education-pd.md                                                                             professional-development
has-managers-admin\managers-admin\employment-types.md                                                                         employment
has-managers-admin\managers-admin\allowances\5-higher-duties.md                                                               preliminary, classifications
has-managers-admin\managers-admin\allowances\6-removal-expenses.md                                                            preliminary
has-managers-admin\managers-admin\classification-staffing\16-worker-wellbeing-and-employment-support-officers.md              preliminary
has-managers-admin\managers-admin\classification-staffing\17-translation-of-managers-and-administrative-workers.md            preliminary
has-managers-admin\managers-admin\education-pd\12-study-leave.md                                                              employment, preliminary
has-managers-admin\managers-admin\education-pd\14-education-and-training.md                                                   professional-development
has-managers-admin\managers-admin\education-pd\15-professional-development-leave.md                                           leave
has-managers-admin\managers-admin\employment-types\3-notice-of-termination-employer.md                                        wages
has-managers-admin\managers-admin\employment-types\4-notice-of-termination-employee.md                                        wages
has-managers-admin\managers-admin\hours-of-work\10-overtime.md                                                                employment, preliminary
has-managers-admin\managers-admin\hours-of-work\7-hours-of-work.md                                                            leave, shift-work, employment
has-managers-admin\managers-admin\hours-of-work\9-weekend-work.md                                                             wages
has-managers-admin\managers-admin\preliminary\2-application-of-section-3.md                                                   employment, termination
has-managers-admin\schedules\1a-employers-covered.md                                                                          schedules
has-managers-admin\schedules\1b-supported-wage-system-for-employees-with-a-disability.md                                      schedules, wages
has-managers-admin\schedules\2b-wage-rates-health-allied-services.md                                                          schedules
has-managers-admin\schedules\2c-allowances-health-allied-services.md                                                          schedules
has-managers-admin\schedules\2d-classification-structure-health-allied-services.md                                            schedules
has-managers-admin\schedules\3b-wage-rates-managers-and-administrative-workers.md                                             schedules
has-managers-admin\schedules\3c-allowances-managers-and-administrative-workers.md                                             schedules
has-managers-admin\schedules\3d-classification-structure-managers-and-administrative-workers.md                               schedules
has-managers-admin\schedules\3e-workplace-trainer-careers-advisor.md                                                          schedules, classifications
has-managers-admin\schedules\3f-worker-wellbeing-officer.md                                                                   schedules, classifications
has-managers-admin\schedules\3g-aboriginal-employment-support-officer.md                                                      schedules, classifications
has-managers-admin\schedules\3h-disability-employment-support-officer.md                                                      schedules, classifications
has-managers-admin\schedules\3i-veteran-employment-support-officer.md                                                         schedules, classifications
medical-specialists\appendices.md                                                                                             appendices
medical-specialists\employment.md                                                                                             employment
medical-specialists\accommodation\45-board-and-lodging.md                                                                     wages
medical-specialists\accommodation\46-breastfeeding.md                                                                         hours
medical-specialists\allowances\37-telephone-allowance.md                                                                      hours, on-call
medical-specialists\allowances\38-uniforms.md                                                                                 allowances
medical-specialists\allowances\40-travelling-allowance.md                                                                     hours, rosters
medical-specialists\allowances\41-continuing-medical-education-support.md                                                     employment, preliminary
medical-specialists\allowances\42-childcare-costs-reimbursement.md                                                            hours, overtime, rosters, on-call
medical-specialists\allowances\43-provision-of-mobile-phone-or-reimbursement-of-cost.md                                       hours, on-call, allowances
medical-specialists\allowances\44-insurance-allowance.md                                                                      employment
medical-specialists\allowances\44B-designated-location-bonus.md                                                               allowances
medical-specialists\appendices\1-list-of-employers-health-services.md                                                         appendices
medical-specialists\appendices\2-specialists-remuneration-and-allowances.md                                                   appendices
medical-specialists\appendices\3-continuing-medical-education-standard-claim-form.md                                          appendices
medical-specialists\appendices\4-template-certificate-of-service.md                                                           appendices
medical-specialists\appendices\5-list-of-local-certified-agreements-and-enterprise-agreements.md                              appendices
medical-specialists\consultation-disputes\10-redundancy-and-associated-entitlements.md                                        wages, preliminary
medical-specialists\consultation-disputes\11-dispute-resolution-procedure.md                                                  leave, parental-leave, flexible-work
medical-specialists\consultation-disputes\13-prevention-and-management-of-workplace-bullying.md                               ohs
medical-specialists\consultation-disputes\14-flexible-working-arrangements.md                                                 preliminary
medical-specialists\consultation-disputes\15-individual-flexibility-arrangements.md                                           preliminary
medical-specialists\consultation-disputes\15A-climate-change-mitigation-and-sustainability.md                                 preliminary
medical-specialists\consultation-disputes\9-consultation.md                                                                   leave
medical-specialists\employment\16-types-of-employment.md                                                                      hours, wages
medical-specialists\employment\16A-internal-locum-conversion.md                                                               preliminary
medical-specialists\employment\17-rights-of-private-practice-administration.md                                                employment
medical-specialists\employment\18-clinical-support-time.md                                                                    preliminary
medical-specialists\employment\19-physical-working-conditions.md                                                              hours, on-call
medical-specialists\employment\20-roster-design-safe-hours-of-work.md                                                         staffing, workload
medical-specialists\employment\21-workload-management-and-review.md                                                           rosters, disputes
medical-specialists\employment\22-transition-to-retirement.md                                                                 flexible-work, preliminary
medical-specialists\employment\24-certificate-of-service.md                                                                   leave, personal-leave, long-service-leave
medical-specialists\hours-of-work\25-continuous-duty-full-time-doctors.md                                                     leave, study-leave, employment
medical-specialists\hours-of-work\26-on-call-full-time-doctors.md                                                             employment
medical-specialists\hours-of-work\27-recall-full-time-doctors.md                                                              employment
medical-specialists\hours-of-work\28-hours-of-work-full-time-doctors.md                                                       employment
medical-specialists\hours-of-work\30-fractional-allocation-fractional-doctors.md                                              hours, rosters
medical-specialists\leave\47-annual-leave.md                                                                                  hours, rosters
medical-specialists\leave\48-annual-leave-loading-full-time-doctors.md                                                        employment
medical-specialists\leave\50-compassionate-leave.md                                                                           preliminary
medical-specialists\leave\51-fitness-for-work.md                                                                              ohs
medical-specialists\leave\52-prenatal-leave.md                                                                                leave, hours, shift-work
medical-specialists\leave\53-unpaid-pre-adoption-leave.md                                                                     preliminary
medical-specialists\leave\54-parental-leave.md                                                                                wages, superannuation
medical-specialists\leave\55-long-service-leave.md                                                                            employment, preliminary
medical-specialists\leave\56-public-holidays.md                                                                               hours, preliminary
medical-specialists\leave\57-sabbatical-leave.md                                                                              wages, preliminary
medical-specialists\leave\58-leave-to-engage-in-voluntary-emergency-management.md                                             preliminary
medical-specialists\leave\58A-absences-on-defence-leave.md                                                                    leave, employment
medical-specialists\leave\58B-special-disaster-leave.md                                                                       personal-leave, employment
medical-specialists\leave\59-continuing-medical-education-leave.md                                                            employment, preliminary
medical-specialists\leave\60-family-violence-leave.md                                                                         preliminary
medical-specialists\leave\61-replacement-of-doctors-when-on-leave.md                                                          leave, staffing, workload
medical-specialists\preliminary\7-saving-of-local-agreements.md                                                               wages
medical-specialists\union-matters\63-best-practice-employment-commitment-committee.md                                         union-matters, preliminary, staffing, workload
medical-specialists\union-matters\64-signatories.md                                                                           union-matters
medical-specialists\wages\31-remuneration-and-remuneration-increases.md                                                       preliminary
medical-specialists\wages\31A-doctor-records.md                                                                               leave, preliminary
medical-specialists\wages\31B-daylight-saving.md                                                                              rosters, breaks
medical-specialists\wages\32-superannuation.md                                                                                wages, preliminary, definitions
medical-specialists\wages\33-salary-packaging.md                                                                              preliminary
medical-specialists\wages\34-accident-pay.md                                                                                  preliminary
medical-specialists\wages\35-recovery-of-overpayments.md                                                                      allowances, wages, preliminary
medical-specialists\wages\36-shift-penalty-payments.md                                                                        hours
mental-health\common-terms\allowances.md                                                                                      definitions
mental-health\common-terms\consultation-disputes.md                                                                           definitions
mental-health\common-terms\employment-types.md                                                                                employment, definitions
mental-health\common-terms\hours-of-work.md                                                                                   definitions
mental-health\common-terms\leave.md                                                                                           definitions
mental-health\common-terms\ohs.md                                                                                             definitions
mental-health\common-terms\preliminary.md                                                                                     definitions
mental-health\common-terms\resources.md                                                                                       definitions
mental-health\common-terms\staffing.md                                                                                        definitions
mental-health\common-terms\wages.md                                                                                           definitions
mental-health\common-terms\workplace-rights.md                                                                                definitions
mental-health\common-terms\allowances\33-commuted-allowance.md                                                                hours, preliminary
mental-health\common-terms\allowances\35-travelling-and-reimbursement.md                                                      allowances, wages
mental-health\common-terms\consultation-disputes\18-consultation.md                                                           leave, parental-leave, ohs
mental-health\common-terms\consultation-disputes\18a-central-building-consultative-committee.md                               leave, parental-leave, ohs
mental-health\common-terms\consultation-disputes\20-redundancy-and-associated-entitlements.md                                 preliminary
mental-health\common-terms\consultation-disputes\21-redeployment-former-s97-employees.md                                      preliminary
mental-health\common-terms\consultation-disputes\22-disputes-resolution-procedure.md                                          leave, parental-leave, flexible-work
mental-health\common-terms\consultation-disputes\23-alternative-dispute-resolution-procedure.md                               wages, union-matters, classifications
mental-health\common-terms\consultation-disputes\24-managing-conduct-and-performance.md                                       union-matters
mental-health\common-terms\employment-types\25-modes-of-employment.md                                                         hours, classifications
mental-health\common-terms\employment-types\26A-employment-checks.md                                                          disputes, preliminary, definitions
mental-health\common-terms\employment-types\27-employee-retention.md                                                          leave, long-service-leave, preliminary
mental-health\common-terms\employment-types\27A-transition-to-retirement.md                                                   flexible-work, preliminary
mental-health\common-terms\employment-types\28-termination-of-employment.md                                                   leave, long-service-leave, wages
mental-health\common-terms\hours-of-work\37-daylight-saving.md                                                                overtime, breaks
mental-health\common-terms\leave\38-blood-donor-leave.md                                                                      preliminary
mental-health\common-terms\leave\38A-personal-leave.md                                                                        preliminary
mental-health\common-terms\leave\38C-caring-responsibilities-casual-employees.md                                              preliminary
mental-health\common-terms\leave\38D-annual-leave.md                                                                          hours, preliminary
mental-health\common-terms\leave\38G-reproductive-health-leave.md                                                             preliminary, definitions
mental-health\common-terms\leave\38H-rehabilitation-leave.md                                                                  preliminary, definitions
mental-health\common-terms\leave\39-leave-to-engage-in-voluntary-emergency-management.md                                      preliminary
mental-health\common-terms\leave\40-absence-on-defence-leave.md                                                               leave
mental-health\common-terms\leave\41-special-disaster-leave.md                                                                 personal-leave
mental-health\common-terms\leave\43-ceremonial-leave.md                                                                       preliminary
mental-health\common-terms\leave\44-compassionate-leave.md                                                                    preliminary, definitions
mental-health\common-terms\leave\45-family-and-domestic-violence-leave.md                                                     preliminary, definitions
mental-health\common-terms\leave\46-jury-service.md                                                                           preliminary
mental-health\common-terms\leave\47-long-service-leave.md                                                                     preliminary
mental-health\common-terms\leave\48-pre-adoption-leave.md                                                                     preliminary
mental-health\common-terms\leave\48A-foster-and-kinship-care.md                                                               preliminary
mental-health\common-terms\leave\49-pre-natal-leave-and-assisted-reproduction.md                                              leave, personal-leave, hours, shift-work
mental-health\common-terms\leave\50-parental-leave.md                                                                         wages, superannuation
mental-health\common-terms\leave\51-purchased-leave.md                                                                        preliminary
mental-health\common-terms\leave\51A-fitness-for-work.md                                                                      preliminary, definitions
mental-health\common-terms\leave\51B-climate-change-mitigation-and-sustainability.md                                          preliminary
mental-health\common-terms\ohs\69-occupational-health-and-safety-workplace-violence.md                                        preliminary
mental-health\common-terms\ohs\69B-ohs-risk-management.md                                                                     consultation
mental-health\common-terms\ohs\69D-designated-work-groups.md                                                                  consultation, union-matters, ohs, preliminary
mental-health\common-terms\ohs\69E-hsrs.md                                                                                    union-matters, ohs
mental-health\common-terms\ohs\69F-occupational-violence-and-aggression-prevention-and.md                                     preliminary
mental-health\common-terms\ohs\69G-hazardous-weather-conditions.md                                                            leave
mental-health\common-terms\ohs\69H-workers-compensation-rehabilitation-and-return-to-work.md                                  ohs
mental-health\common-terms\ohs\69I-prevention-of-gendered-violence-including-sexual-harassment.md                             ohs
mental-health\common-terms\preliminary\10-coverage.md                                                                         union-matters
mental-health\common-terms\preliminary\16-anti-discrimination.md                                                              leave, flexible-work
mental-health\common-terms\preliminary\7-application-of-section-4.md                                                          classifications
mental-health\common-terms\preliminary\8-application-of-section-5.md                                                          classifications
mental-health\common-terms\preliminary\9-definitions.md                                                                       classifications
mental-health\common-terms\resources\52-rural-four-wheel-drive-all-wheel-drive.md                                             allowances
mental-health\common-terms\resources\53-rural-satellite-telephones.md                                                         preliminary
mental-health\common-terms\resources\54-training.md                                                                           preliminary
mental-health\common-terms\staffing\55-recruitment-to-vacant-position.md                                                      termination, staffing
mental-health\common-terms\staffing\56-time-limit-on-higher-duties.md                                                         disputes, staffing
mental-health\common-terms\staffing\57-community-mental-health-discipline-mix.md                                              union-matters
mental-health\common-terms\staffing\57A-community-health-teams-staffing-establishment.md                                      consultation, preliminary
mental-health\common-terms\staffing\58-community-mental-health-engagement-worker.md                                           preliminary
mental-health\common-terms\staffing\59-aboriginal-healthcare-worker-traineeship-mental-health.md                              preliminary
mental-health\common-terms\staffing\60-community-workload-management-system-cwms.md                                           preliminary
mental-health\common-terms\staffing\61-crisis-team-workload-management-system-ctwms.md                                        preliminary, definitions
mental-health\common-terms\staffing\62-demand-escalation-policy.md                                                            consultation, union-matters
mental-health\common-terms\wages\30-compensation-make-up-pay.md                                                               wages, preliminary
mental-health\common-terms\wages\31-salary-packaging.md                                                                       preliminary
mental-health\common-terms\wages\32-superannuation.md                                                                         wages, preliminary, definitions
mental-health\common-terms\workplace-rights\64-breastfeeding.md                                                               hours
mental-health\common-terms\workplace-rights\65-flexible-working-arrangements.md                                               preliminary
mental-health\common-terms\workplace-rights\66-individual-flexible-working-arrangements.md                                    leave, hours, overtime
mental-health\common-terms\workplace-rights\67-reasonable-adjustments-for-employees-with-a-disability.md                      preliminary
mental-health\common-terms\workplace-rights\68-royal-commission-working-group.md                                              consultation
mental-health\health-professionals\education-pd.md                                                                            professional-development
mental-health\health-professionals\employment-types.md                                                                        employment
mental-health\health-professionals\allowances\115-higher-duties-allowance.md                                                  hours, shift-work, preliminary
mental-health\health-professionals\allowances\116-meal-allowance.md                                                           hours, overtime
mental-health\health-professionals\allowances\117-qualification-allowance.md                                                  preliminary, classifications
mental-health\health-professionals\allowances\118-higher-education-recognition-allowance.md                                   employment, preliminary, staffing
mental-health\health-professionals\allowances\121A-change-of-ward-allowance.md                                                hours, shift-work, rosters
mental-health\health-professionals\classification-staffing\143-classifications-and-wages.md                                   wages
mental-health\health-professionals\classification-staffing\143A-wages-review.md                                               preliminary
mental-health\health-professionals\classification-staffing\145-trainee-supervision.md                                         discipline
mental-health\health-professionals\education-pd\136-professional-development-leave.md                                         leave, preliminary
mental-health\health-professionals\education-pd\139-study-leave.md                                                            preliminary
mental-health\health-professionals\education-pd\140-health-professionals-medicare-study-leave.md                              preliminary
mental-health\health-professionals\education-pd\141-clinical-supervision-for-allied-health-professionals-not.md               education
mental-health\health-professionals\education-pd\142-discipline-specific-supervision-only-llews.md                             education
mental-health\health-professionals\employment-types\112-this-clause-is-deliberately-blank.md                                  preliminary
mental-health\health-professionals\hours-of-work\122-hours-of-work.md                                                         shift-work
mental-health\health-professionals\hours-of-work\123-ados.md                                                                  hours, preliminary
mental-health\health-professionals\hours-of-work\125-discretionary-backfill-for-certain-absences.md                           annual-leave, study-leave, consultation
mental-health\health-professionals\hours-of-work\125A-portfolio-work-in-paid-time.md                                          preliminary
mental-health\health-professionals\hours-of-work\127-meal-interval.md                                                         shift-work
mental-health\health-professionals\hours-of-work\129-rest-period.md                                                           preliminary
mental-health\health-professionals\hours-of-work\132-on-call-rostered-overtime.md                                             leave, annual-leave
mental-health\health-professionals\hours-of-work\133-catt-on-call-recall-allowances.md                                        leave, public-holidays
mental-health\health-professionals\hours-of-work\134-on-call-recall-allowance-non-catt.md                                     leave, public-holidays
mental-health\health-professionals\leave\135-public-holidays.md                                                               leave, preliminary
mental-health\health-professionals\preliminary\111-definitions-specific-to-this-part-of-this-agreement.md                     leave
mental-health\health-professionals\wages\113-once-off-retention-payment.md                                                    employment
mental-health\management-admin\education-pd.md                                                                                professional-development
mental-health\management-admin\allowances\192-childcare-reimbursement.md                                                      hours, overtime
mental-health\management-admin\allowances\193-meal-allowances.md                                                              hours, overtime, shift-work
mental-health\management-admin\allowances\195-removal-expenses.md                                                             preliminary
mental-health\management-admin\classification-staffing\222-chief-executive-officers.md                                        preliminary
mental-health\management-admin\education-pd\214-study-leave.md                                                                preliminary
mental-health\management-admin\education-pd\216-staff-appraisal.md                                                            union-matters
mental-health\management-admin\education-pd\217-individual-performance-measures-royal-children-s.md                           preliminary
mental-health\management-admin\education-pd\218-professional-development-leave-royal-children-s.md                            leave
mental-health\management-admin\education-pd\219-education-and-training-royal-children-s-hospital.md                           professional-development
mental-health\management-admin\hours-of-work\197-accrued-days-off.md                                                          leave, annual-leave, wages
mental-health\management-admin\hours-of-work\198-higher-duties.md                                                             preliminary, staffing, classifications
mental-health\management-admin\hours-of-work\199-hours-of-work.md                                                             leave, shift-work
mental-health\management-admin\hours-of-work\201-minimum-engagement.md                                                        wages
mental-health\management-admin\hours-of-work\201A-rosters.md                                                                  preliminary
mental-health\management-admin\hours-of-work\202-on-call-recall.md                                                            leave, public-holidays
mental-health\management-admin\hours-of-work\203-overtime.md                                                                  wages, preliminary
mental-health\management-admin\hours-of-work\204-overtime-royal-children-s-hospital.md                                        wages, preliminary
mental-health\management-admin\hours-of-work\205-overtime-in-lieu.md                                                          wages
mental-health\management-admin\hours-of-work\206-reasonable-additional-hours.md                                               overtime
mental-health\management-admin\hours-of-work\207-rest-breaks.md                                                               preliminary
mental-health\management-admin\hours-of-work\208-time-and-wages-records-royal-children-s-hospital.md                          wages
mental-health\management-admin\hours-of-work\209-saturday-and-sunday-work.md                                                  preliminary
mental-health\management-admin\hours-of-work\210-working-from-home-royal-children-s-hospital.md                               preliminary
mental-health\management-admin\hours-of-work\210A-ward-clerk-staffing.md                                                      hours, shift-work
mental-health\management-admin\leave\211-conversion-of-unused-sick-leave-to-annual-leave.md                                   personal-leave
mental-health\management-admin\leave\212-discretionary-leave-without-pay-royal-children-s.md                                  parental-leave
mental-health\management-admin\leave\213-public-holidays.md                                                                   leave, preliminary
mental-health\management-admin\preliminary\186-definitions-specific-to-section-5-of-this-agreement.md                         hours, overtime
mental-health\management-admin\preliminary\187-best-practice-royal-children-s-hospital.md                                     preliminary
mental-health\management-admin\resources\220-uniforms-and-protective-clothing.md                                              preliminary
mental-health\management-admin\wages\189-supported-wage-system-for-employees-with-a-disability.md                             preliminary
mental-health\management-admin\wages\190-annualised-salaries-royal-children-s-hospital.md                                     leave, annual-leave, hours, shift-work
mental-health\rpn-pen-mho\education-pd.md                                                                                     professional-development
mental-health\rpn-pen-mho\letter-of-employment.md                                                                             employment
mental-health\rpn-pen-mho\allowances\75-change-of-shift-allowance-pen-and-mho.md                                              hours
mental-health\rpn-pen-mho\allowances\76-childcare-reimbursement.md                                                            hours, overtime
mental-health\rpn-pen-mho\allowances\78-higher-duties-allowance.md                                                            hours, shift-work, staffing
mental-health\rpn-pen-mho\allowances\79-meal-allowance.md                                                                     hours, overtime, shift-work
mental-health\rpn-pen-mho\allowances\80-out-of-hours-supervisor.md                                                            preliminary
mental-health\rpn-pen-mho\allowances\81-qualification-allowance.md                                                            preliminary
mental-health\rpn-pen-mho\allowances\82-travelling-and-relocation-allowance.md                                                hours, shift-work
mental-health\rpn-pen-mho\allowances\83-saturday-and-sunday-work.md                                                           rosters, wages
mental-health\rpn-pen-mho\allowances\84-shift-allowances.md                                                                   hours
mental-health\rpn-pen-mho\allowances\84A-change-of-ward-allowance.md                                                          hours, shift-work
mental-health\rpn-pen-mho\allowances\86-uniform-and-laundry-allowance.md                                                      wages
mental-health\rpn-pen-mho\allowances\87-senior-allowance-mho.md                                                               preliminary, classifications
mental-health\rpn-pen-mho\classification-staffing\102-workload-management.md                                                  shift-work, education
mental-health\rpn-pen-mho\classification-staffing\102A-staff-replacement.md                                                   shift-work
mental-health\rpn-pen-mho\classification-staffing\103-undergraduate-employment-models.md                                      preliminary, definitions, education
mental-health\rpn-pen-mho\classification-staffing\105-commencing-grades-nursing.md                                            preliminary
mental-health\rpn-pen-mho\classification-staffing\106-classification-standards.md                                             preliminary, definitions
mental-health\rpn-pen-mho\classification-staffing\108-registered-psychiatric-nursing-classifications.md                       education
mental-health\rpn-pen-mho\classification-staffing\109-psychiatric-enrolled-nurse-classifications.md                           preliminary
mental-health\rpn-pen-mho\classification-staffing\110-mental-health-officers-classifications.md                               preliminary
mental-health\rpn-pen-mho\education-pd\100-clinical-supervision.md                                                            education, professional-development
mental-health\rpn-pen-mho\education-pd\99-professional-development-leave.md                                                   leave
mental-health\rpn-pen-mho\education-pd\99A-study-leave.md                                                                     preliminary
mental-health\rpn-pen-mho\education-pd\99B-examination-leave-rpn-and-pen.md                                                   preliminary
mental-health\rpn-pen-mho\hours-of-work\88-hours-of-work.md                                                                   shift-work, rosters, preliminary
mental-health\rpn-pen-mho\hours-of-work\89-overtime.md                                                                        preliminary, definitions
mental-health\rpn-pen-mho\hours-of-work\90A-permanent-night-shift.md                                                          staffing
mental-health\rpn-pen-mho\hours-of-work\90C-proposals-to-vary-specific-matters.md                                             hours, shift-work, allowances, staffing
mental-health\rpn-pen-mho\hours-of-work\91-oncall-recall-non-catt.md                                                          leave, public-holidays
mental-health\rpn-pen-mho\hours-of-work\92-catt-on-call-recall-allowances.md                                                  leave, public-holidays
mental-health\rpn-pen-mho\hours-of-work\93-ten-hour-break-between-overtime-recall.md                                          shift-work
mental-health\rpn-pen-mho\hours-of-work\93A-four-clear-days-allowance.md                                                      rosters
mental-health\rpn-pen-mho\hours-of-work\94-rosters.md                                                                         union-matters
mental-health\rpn-pen-mho\hours-of-work\95A-right-to-disconnect-supplementary-roster.md                                       leave
mental-health\rpn-pen-mho\hours-of-work\96-rest-and-meal-breaks.md                                                            leave, shift-work
mental-health\rpn-pen-mho\hours-of-work\96A-portfolio-work-in-paid-time.md                                                    preliminary
mental-health\rpn-pen-mho\leave\98-public-holidays.md                                                                         leave, preliminary
mental-health\rpn-pen-mho\letter-of-employment\71-letter-of-appointment-employment-arrangements.md                            preliminary
mental-health\rpn-pen-mho\preliminary\70-definitions-specific-to-section-2.md                                                 hours, shift-work
mental-health\rpn-pen-mho\wages\72-lump-sum-payment-mho-only.md                                                               wages
mental-health\rpn-pen-mho\wages\73-fbt.md                                                                                     allowances
mental-health\rpn-pen-mho\wages\74-additional-payment-of-wages-provisions.md                                                  hours, overtime
mental-health\schedules\01-list-of-employers.md                                                                               appendices
mental-health\schedules\02-salaries-and-allowances.md                                                                         schedules, wages, on-call
mental-health\schedules\03-role-statement-mental-health-clinical-educator.md                                                  schedules, classifications
mental-health\schedules\04-pcns-and-rpn-2-advanced-application-process.md                                                     schedules, classifications
mental-health\schedules\05-classification-definitions-applying-to-health-professionals.md                                     schedules
mental-health\schedules\06-support-services-employee-classifications.md                                                       schedules
mental-health\schedules\07-management-and-administrative-officers-classifications.md                                          schedules
mental-health\schedules\08-letter-of-appointment.md                                                                           schedules
mental-health\schedules\09-certificate-of-service.md                                                                          schedules
mental-health\schedules\10-minimum-staffing-levels.md                                                                         schedules
mental-health\schedules\11-additional-staffing.md                                                                             schedules
mental-health\support-services\preliminary\146-definitions-specific-to-section-4-of-this-agreement.md                         hours, overtime
mental-health\support-services\preliminary\147-dual-part-time-appointments.md                                                 classifications
mental-health\support-services\preliminary\148-trainees.md                                                                    preliminary
mental-health\support-services\preliminary\151-supported-wage-system-for-employees-with-a-disability.md                       preliminary
mental-health\support-services\preliminary\152-childcare-reimbursement.md                                                     hours, overtime
mental-health\support-services\preliminary\154-interpreter-allowances.md                                                      preliminary
mental-health\support-services\preliminary\155-meal-allowances.md                                                             hours, overtime, shift-work
mental-health\support-services\preliminary\156-nauseous-work-allowance.md                                                     preliminary, classifications
mental-health\support-services\preliminary\158-multi-skilling-allowance-patient-services-assistants.md                        leave, wages
mental-health\support-services\preliminary\159-senior-allowance.md                                                            classifications
mental-health\support-services\preliminary\161-travelling-allowances.md                                                       hours, preliminary
mental-health\support-services\preliminary\162-accrued-days-off.md                                                            leave, annual-leave, wages
mental-health\support-services\preliminary\163-higher-duties.md                                                               hours, shift-work, preliminary
mental-health\support-services\preliminary\164-hours-of-work.md                                                               leave, shift-work
mental-health\support-services\preliminary\166-meal-breaks.md                                                                 preliminary
mental-health\support-services\preliminary\167-minimum-engagement.md                                                          wages
mental-health\support-services\preliminary\168-on-call-recall.md                                                              leave, public-holidays
mental-health\support-services\preliminary\169-overtime.md                                                                    wages, preliminary
mental-health\support-services\preliminary\170-overtime-in-lieu.md                                                            wages
mental-health\support-services\preliminary\171-reasonable-additional-hours.md                                                 overtime
mental-health\support-services\preliminary\172-rest-breaks.md                                                                 preliminary
mental-health\support-services\preliminary\174-this-clause-has-deliberately-been-left-blank.md                                preliminary
mental-health\support-services\preliminary\175-unplanned-absences.md                                                          preliminary
mental-health\support-services\preliminary\176-wash-up-time.md                                                                preliminary
mental-health\support-services\preliminary\177-saturday-and-sunday-work.md                                                    preliminary
mental-health\support-services\preliminary\178-shiftwork.md                                                                   allowances, wages
mental-health\support-services\preliminary\179-public-holidays.md                                                             leave, preliminary
mental-health\support-services\preliminary\180-study-leave.md                                                                 preliminary
mental-health\support-services\preliminary\181-staff-appraisal.md                                                             union-matters
mental-health\support-services\preliminary\182-literacy-and-numeracy.md                                                       preliminary
mental-health\support-services\preliminary\183-uniforms-and-protective-clothing.md                                            leave, personal-leave, long-service-leave, allowances
mental-health\support-services\preliminary\184-amenities.md                                                                   staffing, classifications
mspp\employment.md                                                                                                            employment
mspp\accident-pay-allowances\88-fitness-for-work.md                                                                           ohs
mspp\accident-pay-allowances\89-definitions.md                                                                                preliminary
mspp\accident-pay-allowances\90-accident-pay.md                                                                               wages, preliminary
mspp\accident-pay-allowances\91-child-care-costs.md                                                                           hours, overtime, on-call
mspp\accident-pay-allowances\92-telephone-allowance.md                                                                        hours, on-call
mspp\classification-salaries\39-management-higher-qualifications-allowances.md                                                wages, classifications
mspp\classification-salaries\40-audiologists.md                                                                               wages, classifications
mspp\classification-salaries\41-clinical-perfusionists.md                                                                     hours, overtime, shift-work, on-call
mspp\classification-salaries\42-dietitians.md                                                                                 wages, classifications
mspp\classification-salaries\43-genetic-counsellors.md                                                                        wages, classifications
mspp\classification-salaries\44-medical-physicists.md                                                                         allowances, wages, classifications
