
File                                                                                                                          Removed
biomedical-engineers\hours-of-work\41-accrued-days-off.md                                                                     employment
biomedical-engineers\hours-of-work\42-meal-breaks.md                                                                          shift-work, on-call
biomedical-engineers\hours-of-work\43-tea-breaks.md                                                                           preliminary
biomedical-engineers\hours-of-work\45-rates-for-saturdays-sundays.md                                                          rosters, on-call
biomedical-engineers\hours-of-work\47-recall.md                                                                               rosters
biomedical-engineers\hours-of-work\48-rest-period-after-overtime-recall-ten-hour-break.md                                     shift-work, rosters
biomedical-engineers\hours-of-work\49-daylight-savings.md                                                                     overtime, rosters
biomedical-engineers\leave\50-public-holidays.md                                                                              leave, preliminary
biomedical-engineers\leave\51-annual-leave.md                                                                                 hours, employment
biomedical-engineers\leave\52-cashing-out-of-annual-leave.md                                                                  wages, superannuation
biomedical-engineers\leave\53-purchased-leave.md                                                                              wages, employment
biomedical-engineers\leave\54-personal-carer-s-leave.md                                                                       employment, preliminary
biomedical-engineers\leave\55-fitness-for-work.md                                                                             ohs
biomedical-engineers\leave\56-family-violence-leave.md                                                                        preliminary
biomedical-engineers\leave\58-reproductive-health-leave.md                                                                    preliminary
biomedical-engineers\leave\59-pre-natal-leave.md                                                                              leave, hours, shift-work
biomedical-engineers\leave\60-pre-adoption-leave.md                                                                           preliminary
biomedical-engineers\leave\61-parental-leave.md                                                                               wages, superannuation
biomedical-engineers\leave\62-breastfeeding.md                                                                                hours
biomedical-engineers\leave\63-long-service-leave.md                                                                           personal-leave, annual-leave
biomedical-engineers\leave\64-blood-donors-leave.md                                                                           preliminary
biomedical-engineers\leave\65-leave-to-engage-in-voluntary-emergency-management.md                                            preliminary
biomedical-engineers\leave\66-ceremonial-leave.md                                                                             public-holidays, preliminary
biomedical-engineers\leave\68-absences-on-defence-service.md                                                                  leave, employment
biomedical-engineers\leave\69-special-disaster-leave.md                                                                       personal-leave, employment
biomedical-engineers\leave\70-leave-without-pay.md                                                                            employment, preliminary
biomedical-engineers\preliminary\10-anti-discrimination.md                                                                    flexible-work
biomedical-engineers\preliminary\11-individual-flexibility-arrangements.md                                                    leave, annual-leave, hours, overtime
biomedical-engineers\preliminary\12-transfer-of-business.md                                                                   preliminary
biomedical-engineers\preliminary\2-index.md                                                                                   hours, rosters, consultation
biomedical-engineers\preliminary\4-definitions.md                                                                             leave, hours
biomedical-engineers\union-matters\79-best-practice-employment-commitment.md                                                  ohs, union-matters, flexible-work, preliminary
biomedical-engineers\wages\26-wages-and-allowances.md                                                                         wages
biomedical-engineers\wages\27-top-of-band-payment.md                                                                          preliminary
biomedical-engineers\wages\28-peter-maccallum-cancer-centre-allowance.md                                                      employment
biomedical-engineers\wages\29-payment-of-wages.md                                                                             preliminary, classifications
biomedical-engineers\wages\30-superannuation.md                                                                               wages, preliminary
biomedical-engineers\wages\31-salary-packaging.md                                                                             preliminary
biomedical-engineers\wages\32-accident-make-up-pay.md                                                                         hours, wages, preliminary
biomedical-engineers\workplace-rights\85-flexible-working-arrangements.md                                                     leave, employment
biomedical-engineers\workplace-rights\86-working-from-home.md                                                                 preliminary
biomedical-engineers\workplace-rights\87-occupational-health-and-safety-workplace-violence.md                                 consultation
biomedical-engineers\workplace-rights\88-access-to-employee-file.md                                                           union-matters
childrens-services\employment.md                                                                                              employment
childrens-services\application-operation\2-commencement-and-transitional.md                                                   leave, public-holidays, hours, shift-work, wages, employment
childrens-services\application-operation\3-definitions-and-interpretation.md                                                  wages, superannuation, employment, union-matters
childrens-services\application-operation\7-individual-flexibility-arrangements.md                                             leave, annual-leave, hours, overtime, wages
childrens-services\consultation-disputes\7A-workplace-delegates-rights.md                                                     hours, rosters, employment, consultation, preliminary
childrens-services\consultation-disputes\8-consultation-about-major-workplace-change.md                                       hours, employment, termination
childrens-services\consultation-disputes\9-dispute-resolution.md                                                              leave, parental-leave, hours, employment, flexible-work, preliminary
childrens-services\employment\10-types-of-employment.md                                                                       hours, overtime, shift-work, rosters, wages, classifications, termination, disputes, preliminary
childrens-services\employment\11-termination-of-employment.md                                                                 wages, consultation, preliminary
childrens-services\employment\12-redundancy.md                                                                                hours, shift-work, preliminary
childrens-services\hours-of-work\21-ordinary-hours-of-work-and-rostering.md                                                   leave, personal-leave, annual-leave, public-holidays, overtime, shift-work, wages, employment, disputes,
                                                                                                                              preliminary
childrens-services\hours-of-work\21A-employee-right-to-disconnect.md                                                          rosters
childrens-services\hours-of-work\22-breaks.md                                                                                 leave, overtime, shift-work, preliminary
childrens-services\hours-of-work\23-overtime-and-penalty-rates.md                                                             leave, public-holidays, rosters, allowances, classifications, employment, termination, preliminary
childrens-services\hours-of-work\23A-requests-for-flexible-working-arrangements.md                                            disputes, preliminary
childrens-services\leave\24-annual-leave.md                                                                                   hours, rosters, employment, termination, preliminary
childrens-services\leave\25-personal-carer-s-leave-and-compassionate-leave.md                                                 preliminary
childrens-services\leave\25A-parental-leave-and-related-entitlements.md                                                       disputes, preliminary
childrens-services\leave\26-community-service-leave.md                                                                        preliminary
childrens-services\leave\27-public-holidays.md                                                                                leave, annual-leave, hours, rosters, employment, preliminary
childrens-services\leave\28-family-and-domestic-violence-leave.md                                                             preliminary
childrens-services\schedules\c-supported-wage-system.md                                                                       wages
childrens-services\schedules\d-national-training-wage.md                                                                      wages
childrens-services\schedules\e-school-based-apprentices.md                                                                    wages
childrens-services\wages\13-classifications.md                                                                                wages, preliminary
childrens-services\wages\14-minimum-wages.md                                                                                  hours, overtime, classifications, employment, disputes, preliminary
childrens-services\wages\15-allowances.md                                                                                     hours, overtime, shift-work
childrens-services\wages\16-district-allowances.md                                                                            wages
childrens-services\wages\17-accident-pay.md                                                                                   wages
childrens-services\wages\18-higher-duties.md                                                                                  hours, shift-work, classifications, preliminary
childrens-services\wages\19-payment-of-wages.md                                                                               leave, long-service-leave, hours, overtime, employment, termination, preliminary
childrens-services\wages\20-superannuation.md                                                                                 leave, wages, preliminary
doctors-in-training\accommodation.md                                                                                          training
doctors-in-training\allowances.md                                                                                             training
doctors-in-training\appendices.md                                                                                             training, appendices
doctors-in-training\consultation-disputes.md                                                                                  training
doctors-in-training\doctor-employment.md                                                                                      employment, training
doctors-in-training\education-pd.md                                                                                           professional-development, training
doctors-in-training\hours-of-work.md                                                                                          training
doctors-in-training\index.md                                                                                                  training
doctors-in-training\leave.md                                                                                                  training
doctors-in-training\preliminary.md                                                                                            training
doctors-in-training\remuneration.md                                                                                           training
doctors-in-training\union-matters.md                                                                                          training
doctors-in-training\accommodation\73-facilities-when-on-rotation.md                                                           employment
doctors-in-training\accommodation\74-breastfeeding.md                                                                         hours
doctors-in-training\accommodation\75-deductions-for-board-and-lodging.md                                                      employment, preliminary
doctors-in-training\allowances\51-higher-duties.md                                                                            hours, rosters
doctors-in-training\allowances\52-rotation-allowances.md                                                                      employment
doctors-in-training\allowances\53-meal-allowance.md                                                                           hours, shift-work
doctors-in-training\allowances\54-telephone-allowance.md                                                                      hours, on-call
doctors-in-training\allowances\55-travelling-allowance-use-of-private-vehicle.md                                              hours, on-call
doctors-in-training\allowances\57-child-care-costs-reimbursement-out-of-hours-work.md                                         hours, overtime, rosters, on-call
doctors-in-training\allowances\57A-designated-location-bonus.md                                                               allowances
doctors-in-training\appendices\1-list-of-employers-health-services.md                                                         appendices
doctors-in-training\appendices\2-doctors-in-training-remuneration-allowances-and-deductions.md                                appendices
doctors-in-training\appendices\3-template-certificate-of-service.md                                                           appendices
doctors-in-training\consultation-disputes\10-consultation.md                                                                  leave
doctors-in-training\consultation-disputes\11-redundancy-and-associated-entitlements.md                                        wages, preliminary
doctors-in-training\consultation-disputes\12-dispute-resolution-procedure.md                                                  leave, parental-leave, flexible-work
doctors-in-training\consultation-disputes\14-prevention-and-management-of-workplace-bullying.md                               ohs
doctors-in-training\consultation-disputes\15-flexible-working-arrangements.md                                                 employment, preliminary
doctors-in-training\consultation-disputes\16-individual-flexibility-arrangements.md                                           preliminary
doctors-in-training\consultation-disputes\16A-climate-change-mitigation-and-sustainability.md                                 preliminary
doctors-in-training\doctor-employment\17-full-time-employment.md                                                              hours, classifications
doctors-in-training\doctor-employment\18-part-time-employment.md                                                              leave, hours, overtime, shift-work
doctors-in-training\doctor-employment\22-incidental-and-peripheral-duties.md                                                  employment
doctors-in-training\doctor-employment\23-doctor-responsibilities.md                                                           preliminary
doctors-in-training\doctor-employment\24-rotations-between-hospitals.md                                                       employment, preliminary
doctors-in-training\doctor-employment\25-private-practice-rights.md                                                           employment
doctors-in-training\doctor-employment\26-notification-of-classification.md                                                    employment
doctors-in-training\doctor-employment\27-orientation-on-appointment.md                                                        employment
doctors-in-training\doctor-employment\28-orientation-association-notification.md                                              employment
doctors-in-training\doctor-employment\29-termination-of-employment.md                                                         wages
doctors-in-training\doctor-employment\29A-certificate-of-service.md                                                           leave, personal-leave, long-service-leave
doctors-in-training\doctor-employment\30-advertisement-of-positions.md                                                        employment
doctors-in-training\doctor-employment\31-rotation-to-a-general-practice-training-program.md                                   hours, rosters, employment, consultation
doctors-in-training\doctor-employment\32-transition-to-retirement.md                                                          flexible-work, preliminary
doctors-in-training\education-pd\47-continuing-medical-education-allowance.md                                                 employment, preliminary
doctors-in-training\education-pd\48-internal-training.md                                                                      ohs, education
